,Date,PnL,Capital
435,2018-11-22,0.01,300000000
436,2018-11-23,-622832.6600000001,300000000
437,2018-11-26,2401377.6999999997,300000000
438,2018-11-27,-3378312.09,300000000
439,2018-11-28,640678.2800000008,300000000
440,2018-11-29,454372.2900000011,300000000
441,2018-11-30,732262.1699999998,300000000
442,2018-12-03,84843.57999999949,300000000
443,2018-12-04,-285492.6200000002,300000000
444,2018-12-05,8084.77,300000000
445,2018-12-06,1530692.7700000003,300000000
446,2018-12-07,-1353604.0500000021,300000000
447,2018-12-10,-56734.49000000159,300000000
448,2018-12-11,-1125868.3299999996,300000000
449,2018-12-12,792152.9500000001,300000000
450,2018-12-13,-4368130.79,300000000
451,2018-12-14,258627.12000000104,300000000
452,2018-12-17,1588123.220000001,300000000
453,2018-12-18,-2902698.58,300000000
454,2018-12-19,-1963598.27,300000000
455,2018-12-20,-3898925.589999998,300000000
456,2018-12-21,-3199845.759999995,225000000
457,2018-12-24,453648.8499999995,225000000
458,2018-12-25,-0.01,225000000
459,2018-12-26,-2710672.730000003,225000000
460,2018-12-27,307355.5700000024,225000000
461,2018-12-28,1489359.9899999984,225000000
462,2018-12-31,3447978.7900000005,225000000
463,2019-01-02,1599486.6500000039,225000000
464,2019-01-03,-1409639.3499999985,225000000
465,2019-01-04,4210103.589999999,225000000
466,2019-01-07,4056972.899999997,225000000
467,2019-01-08,-1980824.9899999981,225000000
468,2019-01-09,-1575737.2499999995,225000000
469,2019-01-10,-390515.6900000002,225000000
470,2019-01-11,301950.3100000002,225000000
471,2019-01-14,-1365712.749999999,225000000
472,2019-01-15,300825.67999999947,225000000
473,2019-01-16,1836838.8299999957,225000000
474,2019-01-17,4324.769999996252,225000000
475,2019-01-18,248889.03999999785,225000000
476,2019-01-21,0.02,225000000
477,2019-01-22,-1101745.81,225000000
478,2019-01-23,-1569557.3900000001,225000000
479,2019-01-24,2159703.2,225000000
480,2019-01-25,2487643.4699999993,225000000
481,2019-01-28,-236561.75000000035,225000000
482,2019-01-29,945897.8199999995,225000000
483,2019-01-30,2346576.0199999986,225000000
484,2019-01-31,558820.1600000004,225000000
485,2019-02-01,1229082.93,225000000
486,2019-02-04,728104.92,225000000
487,2019-02-05,773329.4999999979,225000000
488,2019-02-06,-8663.229999997659,225000000
489,2019-02-07,-426776.5099999981,225000000
490,2019-02-08,2083713.0500000014,225000000
491,2019-02-11,1479159.38,225000000
492,2019-02-12,-1033482.7599999998,225000000
493,2019-02-13,-1359514.2699999998,225000000
494,2019-02-14,-1826046.4300000006,225000000
495,2019-02-15,1019873.6800000006,225000000
496,2019-02-18,-0.0100000000002182,300000000
497,2019-02-19,597548.4199999982,300000000
498,2019-02-20,1426833.0499999996,300000000
499,2019-02-21,-540354.6099999996,300000000
500,2019-02-22,-3022126.859999999,300000000
501,2019-02-25,568892.7800000007,300000000
502,2019-02-26,833128.0399999999,300000000
503,2019-02-27,-3511116.21,300000000
504,2019-02-28,-939904.3300000009,300000000
505,2019-03-01,169340.75000000215,300000000
506,2019-03-04,756099.7399999952,300000000
507,2019-03-05,299046.02999999793,300000000
508,2019-03-06,3101613.990000001,300000000
509,2019-03-07,818513.0900000001,300000000
510,2019-03-08,129373.14000000025,300000000
511,2019-03-11,-56826.04000000028,300000000
512,2019-03-12,504171.0800000009,300000000
513,2019-03-13,1450613.0300000014,300000000
514,2019-03-14,-1924315.3699999964,300000000
515,2019-03-15,-77582.99000000091,300000000
516,2019-03-18,87255.8699999997,300000000
517,2019-03-19,1450060.6699999997,300000000
518,2019-03-20,595230.049999998,300000000
519,2019-03-21,2285448.38999999,300000000
520,2019-03-22,934303.189999995,300000000
521,2019-03-25,1884630.3699999999,300000000
522,2019-03-26,-214322.84000000014,300000000
523,2019-03-27,172076.34000000026,300000000
524,2019-03-28,635673.5699999998,300000000
525,2019-03-29,1356207.4600000002,300000000
526,2019-03-31,0.0,300000000
527,2019-04-01,-81005.26000000151,300000000
528,2019-04-02,414337.8799999989,300000000
529,2019-04-03,1801150.5800000022,300000000
530,2019-04-04,-365275.2900000001,300000000
531,2019-04-05,-670273.2800000024,300000000
532,2019-04-08,-2229107.250000002,300000000
533,2019-04-09,-2975364.619999996,300000000
534,2019-04-10,-347583.52999999985,300000000
535,2019-04-11,1809037.4599999995,300000000
536,2019-04-12,1276650.68,300000000
537,2019-04-15,1051146.8099999991,300000000
538,2019-04-16,2249594.0099999993,300000000
539,2019-04-17,978935.159999999,300000000
540,2019-04-18,192123.72000000125,300000000
541,2019-04-22,72983.03999999768,300000000
542,2019-04-23,1128739.310000002,300000000
543,2019-04-24,-199492.13999999996,300000000
544,2019-04-25,211974.0400000005,300000000
545,2019-04-26,482785.89999999973,300000000
546,2019-04-29,808339.8399999974,300000000
547,2019-04-30,1095297.71,300000000
548,2019-05-01,-1707770.4899999998,300000000
549,2019-05-02,-399777.43000000017,300000000
550,2019-05-03,-224724.67999999927,300000000
551,2019-05-06,-605415.8200000011,300000000
552,2019-05-07,-1044675.5699999994,300000000
553,2019-05-08,-673715.1199999995,300000000
554,2019-05-09,2498737.61,300000000
555,2019-05-10,616580.8299999996,300000000
556,2019-05-13,-770863.2800000006,300000000
557,2019-05-14,494950.899999994,300000000
558,2019-05-15,2296693.5200000023,300000000
559,2019-05-16,-1885566.969999999,300000000
560,2019-05-17,657315.8799999993,300000000
561,2019-05-20,-3348193.449999997,300000000
562,2019-05-21,-732940.31,300000000
563,2019-05-22,-1063848.6999999979,300000000
564,2019-05-23,-347411.77999999933,300000000
565,2019-05-24,633858.52,300000000
566,2019-05-27,-0.02,300000000
567,2019-05-28,-747533.3999999997,300000000
568,2019-05-29,3192875.04,300000000
569,2019-05-30,-214807.93000000156,300000000
570,2019-05-31,-1196166.6100000013,300000000
571,2019-06-03,-1333388.0499999914,300000000
572,2019-06-04,-626211.2299999967,300000000
573,2019-06-05,-505322.6000000026,300000000
574,2019-06-06,-850124.5299999987,300000000
575,2019-06-07,416770.11999999563,300000000
576,2019-06-10,-2692993.9400000004,300000000
577,2019-06-11,-178144.42999999906,300000000
578,2019-06-12,1429225.759999998,300000000
579,2019-06-13,1602749.6800000002,300000000
580,2019-06-14,1228875.6499999987,300000000
581,2019-06-17,2485764.9300000006,300000000
582,2019-06-18,-2050118.9100000034,300000000
583,2019-06-19,851658.7200000001,300000000
584,2019-06-20,1788595.04,300000000
585,2019-06-21,819963.9799999994,300000000
586,2019-06-24,-1326176.8999999983,300000000
587,2019-06-25,600167.11,300000000
588,2019-06-26,942031.8099999999,300000000
589,2019-06-27,1336531.5100000002,300000000
